date,ticker,name,stock_exchange,sector,economic_risk_region,avg_daily_volume_m,market_cap_b,revenue_b,net_income_b,operating_margin,price_ltm_sales,pe_ratio,fcf_yield,return_on_common,cash_ratio,price_52w_high_pct
2026-05-01,WDAY,Workday,NasdaqGS,Information Technology,Developed,5.644,32.635,9.552,0.693,10.7%,3.4x,47.1x,8.5%,8.2%,85.3%,46.0%
2026-05-01,TDC,Teradata,NYSE,Information Technology,Developed,2.102,2.643,1.663,0.13,12.6%,1.6x,20.3x,10.8%,71.6%,53.9%,66.9%
2026-05-01,Q,Qnity Electronics,NYSE,Information Technology,Developed,2.186,30.019,4.754,0.729,21.5%,6.3x,43.4x,3.3%,7.8%,67.5%,97.7%
2026-05-01,OTEX,Open Text,NasdaqGS,Information Technology,Developed,2.159,5.779,5.18,0.437,20.5%,1.1x,13.2x,15.2%,10.5%,51.0%,59.3%
2026-05-01,ONTO,Onto Innovation,NYSE,Information Technology,Developed,0.901,14.571,1.005,0.137,21.2%,14.5x,106.5x,2.1%,6.8%,292.1%,92.7%
2026-05-01,KD,Kyndryl Holdings,NYSE,Information Technology,Developed,5.708,3.237,15.123,0.25,4.3%,0.2x,12.9x,9.2%,21.9%,26.7%,32.5%
2026-05-01,IT,Gartner,NYSE,Information Technology,Developed,1.709,9.883,6.497,0.729,18.1%,1.5x,13.6x,11.9%,86.9%,42.3%,32.4%
2026-05-01,FICO,Fair Isaac,NYSE,Information Technology,Developed,0.381,24.014,2.256,0.76,50.9%,10.6x,31.6x,3.8%,-47.1%,54.1%,46.7%
2026-05-01,EPAM,EPAM Systems,NYSE,Information Technology,Developed,1.419,5.926,5.457,0.378,10.7%,1.1x,15.7x,10.3%,10.3%,132.7%,50.5%
2026-05-01,DOCU,DocuSign,NasdaqGS,Information Technology,Developed,4.851,9.318,3.22,0.309,9.3%,2.9x,30.1x,11.4%,15.8%,42.5%,50.7%
2026-05-01,CTSH,Cognizant,NasdaqGS,Information Technology,Developed,7.138,24.845,21.406,2.229,15.8%,1.2x,11.1x,9.9%,14.9%,43.1%,60.6%
2026-05-01,BMI,Badger Meter,NYSE,Information Technology,Developed,0.553,3.56,0.897,0.131,18.9%,4.0x,27.3x,4.7%,19.6%,121.3%,48.0%
2026-05-01,AMAT,Applied Materials,NasdaqGS,Information Technology,Developed,7.004,308.8,28.214,7.839,29.9%,10.9x,39.4x,2.0%,38.9%,109.8%,92.5%
2026-05-01,ADSK,Autodesk,NasdaqGS,Information Technology,Developed,2.201,51.558,7.206,1.124,25.1%,7.2x,45.9x,4.7%,39.7%,44.7%,74.3%
2026-05-01,ADBE,Adobe,NasdaqGS,Information Technology,Developed,5.973,101.3,24.453,7.208,36.9%,4.1x,14.1x,10.2%,58.8%,60.6%,59.3%
2026-04-01,WDAY,Workday,NasdaqGS,Information Technology,Developed,5.128,33.172,9.552,0.693,10.7%,3.5x,47.9x,8.4%,8.2%,85.3%,46.8%
2026-04-01,TXN,Texas Instruments,NasdaqGS,Information Technology,Developed,7.778,178.7,17.682,5.001,34.6%,10.1x,35.9x,1.5%,30.0%,154.5%,84.9%
2026-04-01,QLYS,Qualys,NasdaqGS,Information Technology,Developed,0.673,3.075,0.669,0.198,33.2%,4.6x,15.5x,9.9%,38.2%,95.4%,55.4%
2026-04-01,QCOM,Qualcomm,NasdaqGS,Information Technology,Developed,11.443,135.8,44.867,5.365,27.2%,3.0x,25.3x,9.5%,21.5%,120.4%,62.5%
2026-04-01,OTEX,Open Text,NasdaqGS,Information Technology,Developed,2.082,5.615,5.18,0.437,20.5%,1.1x,12.9x,15.6%,10.5%,51.0%,57.6%
2026-04-01,ORCL,Oracle,NYSE,Information Technology,Developed,27.263,417.7,64.076,16.21,32.2%,6.5x,25.8x,-5.9%,64.4%,96.1%,42.2%
2026-04-01,KVYO,Klaviyo,NYSE,Information Technology,Developed,4.408,5.925,1.234,-0.032,-5.1%,4.8x,-186.5x,3.5%,-2.8%,377.3%,51.4%
2026-04-01,KD,Kyndryl Holdings,NYSE,Information Technology,Developed,5.207,2.897,15.123,0.25,4.3%,0.2x,11.6x,10.3%,21.9%,26.7%,29.1%
2026-04-01,IT,Gartner,NYSE,Information Technology,Developed,1.618,10.905,6.497,0.729,18.1%,1.7x,15.0x,10.8%,86.9%,42.3%,34.3%
2026-04-01,INTU,Intuit,NasdaqGS,Information Technology,Developed,3.944,117.8,20.121,4.34,27.1%,5.9x,27.1x,5.8%,23.5%,33.6%,52.5%
2026-04-01,EPAM,EPAM Systems,NYSE,Information Technology,Developed,1.186,7.315,5.457,0.378,10.7%,1.3x,19.4x,8.4%,10.3%,132.7%,60.7%
2026-04-01,ENTG,Entegris,NasdaqGS,Information Technology,Developed,2.955,18.05,3.197,0.236,15.2%,5.6x,76.6x,2.2%,6.2%,73.8%,83.3%
2026-04-01,DOCU,DocuSign,NasdaqGS,Information Technology,Developed,5.029,9.366,3.22,0.309,9.3%,2.9x,30.3x,11.3%,15.8%,42.5%,50.9%
2026-04-01,AMAT,Applied Materials,NasdaqGS,Information Technology,Developed,7.787,280.8,28.214,7.839,29.9%,10.0x,35.8x,2.2%,38.9%,109.8%,89.4%
2026-04-01,ADBE,Adobe,NasdaqGS,Information Technology,Developed,5.886,97.562,24.453,7.208,36.9%,4.0x,13.5x,10.6%,58.8%,60.6%,57.1%
2026-03-01,TYL,Tyler Technologies,NYSE,Information Technology,Developed,0.609,15.246,2.332,0.316,15.4%,6.5x,48.3x,4.2%,8.9%,62.5%,56.6%
2026-03-01,TXN,Texas Instruments,NasdaqGS,Information Technology,Developed,7.762,192.5,17.682,5.001,34.6%,10.9x,38.7x,1.4%,30.0%,154.5%,91.7%
2026-03-01,TER,Teradyne,NasdaqGS,Information Technology,Developed,3.278,50.103,3.19,0.554,21.4%,15.7x,90.4x,0.9%,19.7%,28.9%,92.8%
2026-03-01,ROP,Roper Technologies,NasdaqGS,Information Technology,Developed,1.56,35.997,7.902,1.536,28.3%,4.6x,23.4x,6.9%,7.9%,8.0%,59.2%
2026-03-01,QLYS,Qualys,NasdaqGS,Information Technology,Developed,0.585,3.299,0.669,0.198,33.2%,4.9x,16.6x,9.2%,38.2%,95.4%,59.5%
2026-03-01,QCOM,Qualcomm,NasdaqGS,Information Technology,Developed,9.488,151.9,44.867,5.365,27.2%,3.4x,28.3x,8.5%,21.5%,120.4%,69.5%
2026-03-01,OTEX,Open Text,NasdaqGS,Information Technology,Developed,1.752,6.17,5.18,0.437,20.5%,1.2x,14.1x,14.2%,10.5%,51.0%,62.6%
2026-03-01,ORCL,Oracle,NYSE,Information Technology,Developed,28.519,417.9,61.016,15.425,31.8%,6.8x,27.1x,-3.2%,70.6%,52.3%,42.2%
2026-03-01,ONTO,Onto Innovation,NYSE,Information Technology,Developed,0.907,10.73,1.005,0.137,21.2%,10.7x,78.5x,2.8%,6.8%,292.1%,92.9%
2026-03-01,KVYO,Klaviyo,NYSE,Information Technology,Developed,3.872,5.306,1.234,-0.032,-5.1%,4.3x,-167.0x,3.9%,-2.8%,377.3%,42.9%
2026-03-01,KD,Kyndryl Holdings,NYSE,Information Technology,Developed,4.645,2.78,15.123,0.25,4.3%,0.2x,11.1x,10.8%,21.9%,26.7%,27.9%
2026-03-01,ENTG,Entegris,NasdaqGS,Information Technology,Developed,3.043,20.119,3.197,0.236,15.2%,6.3x,85.4x,2.0%,6.2%,73.8%,92.9%
2026-03-01,CSIQ,Canadian Solar,NasdaqGS,Information Technology,Developed,3.361,1.186,5.899,-0.188,1.7%,0.2x,73.6x,-146.2%,0.6%,29.5%,51.2%
2026-03-01,CHKP,Check Point Software,NasdaqGS,Information Technology,Developed,1.322,16.325,2.725,1.057,30.5%,6.0x,15.4x,7.4%,37.3%,155.7%,64.9%
2026-03-01,ADSK,Autodesk,NasdaqGS,Information Technology,Developed,2.017,52.023,7.206,1.124,24.9%,7.2x,46.3x,4.6%,39.7%,44.7%,74.7%
2026-02-01,ZBRA,Zebra Technologies,NasdaqGS,Information Technology,Developed,0.643,11.904,5.255,0.512,15.3%,2.3x,23.3x,6.7%,14.3%,65.7%,58.7%
2026-02-01,UCTT,Ultra Clean,NasdaqGS,Information Technology,Developed,0.712,1.983,2.111,-0.151,2.8%,0.9x,-12.3x,0.9%,-20.6%,107.1%,89.8%
2026-02-01,TDC,Teradata,NYSE,Information Technology,Developed,1.515,2.658,1.651,0.118,11.8%,1.6x,22.5x,10.7%,68.6%,44.8%,87.3%
2026-02-01,SWKS,Skyworks Solutions,NasdaqGS,Information Technology,Developed,3.391,8.29,4.087,0.477,12.5%,2.0x,17.4x,13.3%,7.9%,103.9%,62.0%
2026-02-01,ROP,Roper Technologies,NasdaqGS,Information Technology,Developed,1.18,39.573,7.902,1.536,28.3%,5.0x,25.8x,6.3%,7.9%,8.0%,62.8%
2026-02-01,QCOM,Qualcomm,NasdaqGS,Information Technology,Developed,8.969,161.9,44.284,5.541,28.0%,3.7x,29.2x,7.9%,23.3%,111.1%,74.0%
2026-02-01,OTEX,Open Text,NasdaqGS,Information Technology,Developed,1.157,6.329,5.188,0.498,20.5%,1.2x,12.7x,14.3%,12.3%,44.3%,64.5%
2026-02-01,ORCL,Oracle,NYSE,Information Technology,Developed,26.362,472.9,61.016,15.425,31.8%,7.7x,30.7x,-2.8%,70.6%,52.3%,47.8%
2026-02-01,ONTO,Onto Innovation,NYSE,Information Technology,Developed,0.842,10.032,1.002,0.175,19.4%,10.0x,57.3x,2.6%,9.0%,604.1%,89.0%
2026-02-01,NOW,ServiceNow,NYSE,Information Technology,Developed,7.599,122.4,13.278,1.748,15.1%,9.2x,70.0x,3.7%,15.5%,60.2%,55.3%
2026-02-01,INTU,Intuit,NasdaqGS,Information Technology,Developed,2.151,138.8,19.433,4.118,26.7%,7.1x,33.7x,4.6%,22.0%,49.2%,61.5%
2026-02-01,CSIQ,Canadian Solar,NasdaqGS,Information Technology,Developed,5.294,1.281,5.899,-0.188,1.7%,0.2x,79.5x,-135.4%,0.6%,29.5%,55.3%
2026-02-01,CRM,Salesforce,NYSE,Information Technology,Developed,8.283,198.9,40.317,7.222,22.0%,4.9x,27.5x,6.5%,12.2%,52.9%,61.1%
2026-02-01,BMI,Badger Meter,NYSE,Information Technology,Developed,0.307,4.32,0.917,0.142,20.0%,4.7x,30.5x,3.9%,21.5%,150.0%,57.5%
2026-02-01,AMAT,Applied Materials,NasdaqGS,Information Technology,Developed,7.499,255.8,28.368,6.998,30.0%,9.0x,36.6x,2.2%,35.5%,107.2%,93.5%
2026-01-01,ZBRA,Zebra Technologies,NasdaqGS,Information Technology,Developed,0.673,12.301,5.255,0.512,15.3%,2.3x,24.0x,6.4%,14.3%,65.7%,56.8%
2026-01-01,TER,Teradyne,NasdaqGS,Information Technology,Developed,3.309,30.313,2.86,0.443,18.0%,10.6x,68.4x,1.5%,15.8%,29.9%,94.4%
2026-01-01,TDC,Teradata,NYSE,Information Technology,Developed,1.547,2.837,1.651,0.118,11.8%,1.7x,24.0x,10.0%,68.6%,44.8%,92.2%
2026-01-01,SNDK,SanDisk,NasdaqGS,Information Technology,Developed,10.688,34.789,7.78,-1.74,5.0%,4.5x,-20.0x,1.5%,-16.2%,95.1%,83.4%
2026-01-01,OTEX,Open Text,NasdaqGS,Information Technology,Developed,1.037,8.076,5.188,0.498,20.5%,1.6x,16.2x,11.2%,12.3%,44.3%,82.3%
2026-01-01,ONTO,Onto Innovation,NYSE,Information Technology,Developed,0.925,7.838,1.002,0.175,19.4%,7.8x,44.8x,3.3%,9.0%,604.1%,69.1%
2026-01-01,ON,ON Semiconductor,NasdaqGS,Information Technology,Developed,9.123,21.789,6.188,0.322,19.7%,3.5x,68.3x,6.2%,3.9%,237.3%,80.8%
2026-01-01,NTAP,NetApp,NasdaqGS,Information Technology,Developed,1.914,21.21,6.637,1.177,22.6%,3.2x,18.0x,7.9%,125.3%,87.0%,84.9%
2026-01-01,NSIT,Insight Enterprises,NasdaqGS,Information Technology,Developed,0.421,2.524,8.272,0.142,4.7%,0.3x,17.7x,13.2%,8.5%,10.9%,44.8%
2026-01-01,MCHP,Microchip Technology,NasdaqGS,Information Technology,Developed,8.274,34.437,4.212,-0.185,3.7%,8.2x,-141.8x,2.2%,-3.7%,22.7%,83.9%
2026-01-01,CSIQ,Canadian Solar,NasdaqGS,Information Technology,Developed,4.881,1.592,5.899,-0.188,1.7%,0.3x,98.8x,-108.9%,0.6%,29.5%,68.7%
2026-01-01,CIEN,Ciena Corp,NYSE,Information Technology,Developed,2.902,32.942,4.77,0.123,6.5%,6.9x,267.1x,2.0%,4.4%,100.0%,94.3%
2026-01-01,CHKP,Check Point Software,NasdaqGS,Information Technology,Developed,0.856,19.921,2.684,1.01,31.8%,7.4x,19.7x,5.7%,34.2%,85.8%,79.2%
2026-01-01,AMKR,Amkor Technology,NasdaqGS,Information Technology,Developed,3.311,9.759,6.449,0.309,6.5%,1.5x,31.7x,2.4%,7.3%,93.3%,83.5%
2026-01-01,ADSK,Autodesk,NasdaqGS,Information Technology,Developed,1.389,62.631,6.888,1.111,24.2%,9.1x,56.4x,3.4%,40.3%,48.3%,89.9%
2025-12-01,ZBRA,Zebra Technologies,NasdaqGS,Information Technology,Developed,0.648,12.73,5.255,0.512,15.3%,2.4x,24.9x,6.2%,14.3%,65.7%,58.7%
2025-12-01,TDC,Teradata,NYSE,Information Technology,Developed,1.433,2.742,1.651,0.118,11.8%,1.7x,23.2x,10.4%,68.6%,44.8%,88.6%
2025-12-01,SNDK,SanDisk,NasdaqGS,Information Technology,Developed,10.579,30.801,7.78,-1.74,5.0%,4.0x,-17.7x,1.7%,-16.2%,95.1%,73.8%
2025-12-01,QLYS,Qualys,NasdaqGS,Information Technology,Developed,0.372,5.133,0.653,0.189,32.5%,7.9x,27.1x,5.3%,38.6%,96.9%,89.6%
2025-12-01,QCOM,Qualcomm,NasdaqGS,Information Technology,Developed,9.875,179.8,44.284,5.541,28.0%,4.1x,32.4x,7.1%,23.3%,111.1%,81.6%
2025-12-01,OTEX,Open Text,NasdaqGS,Information Technology,Developed,1.289,8.35,5.188,0.498,20.5%,1.6x,16.8x,10.8%,12.3%,44.3%,84.5%
2025-12-01,ONTO,Onto Innovation,NYSE,Information Technology,Developed,1.23,7.299,1.002,0.175,19.4%,7.3x,41.7x,3.6%,9.0%,604.1%,64.4%
2025-12-01,ON,ON Semiconductor,NasdaqGS,Information Technology,Developed,8.603,20.292,6.188,0.322,19.7%,3.3x,63.6x,6.7%,3.9%,237.3%,67.7%
2025-12-01,NTAP,NetApp,NasdaqGS,Information Technology,Developed,2.093,22.236,6.637,1.177,22.6%,3.4x,18.9x,7.5%,125.3%,87.0%,87.2%
2025-12-01,ENTG,Entegris,NasdaqGS,Information Technology,Developed,2.456,11.566,3.223,0.289,16.6%,3.6x,40.1x,2.9%,7.7%,81.4%,68.2%
2025-12-01,CSIQ,Canadian Solar,NasdaqGS,Information Technology,Developed,4.362,1.845,5.899,-0.188,1.7%,0.3x,114.5x,-94.0%,0.6%,29.5%,79.6%
2025-12-01,CHKP,Check Point Software,NasdaqGS,Information Technology,Developed,0.78,20.08,2.684,1.01,31.8%,7.5x,19.9x,5.7%,34.2%,85.8%,79.8%
2025-12-01,AMKR,Amkor Technology,NasdaqGS,Information Technology,Developed,3.023,9.329,6.449,0.309,6.5%,1.4x,30.3x,2.5%,7.3%,93.3%,98.7%
2025-12-01,ADSK,Autodesk,NasdaqGS,Information Technology,Developed,1.431,64.559,6.888,1.111,24.2%,9.4x,58.1x,3.3%,40.3%,48.3%,92.7%
2025-12-01,ADBE,Adobe,NasdaqGS,Information Technology,Developed,4.335,135.1,23.181,6.957,36.6%,5.8x,19.4x,7.1%,52.9%,64.3%,57.9%
2025-11-01,ZBRA,Zebra Technologies,NasdaqGS,Information Technology,Developed,0.624,13.64,5.255,0.512,15.3%,2.6x,26.6x,5.8%,14.3%,65.7%,62.9%
2025-11-01,UCTT,Ultra Clean,NasdaqGS,Information Technology,Developed,0.415,1.244,2.111,-0.151,2.8%,0.6x,-7.7x,1.4%,-20.6%,107.1%,67.4%
2025-11-01,TXN,Texas Instruments,NasdaqGS,Information Technology,Developed,7.334,146.7,17.266,5.043,35.5%,8.5x,29.2x,1.4%,29.6%,166.3%,74.0%
2025-11-01,SNDK,SanDisk,NasdaqGS,Information Technology,Developed,6.19,29.207,7.355,-1.641,6.9%,4.0x,-17.8x,-0.4%,-16.2%,103.8%,95.0%
2025-11-01,PI,Impinj,NasdaqGS,Information Technology,Developed,0.54,6.087,0.36,-0.012,0.1%,16.9x,-491.0x,0.7%,-7.5%,144.2%,81.8%
2025-11-01,ORCL,Oracle,NYSE,Information Technology,Developed,22.67,748.6,59.018,12.441,31.5%,12.7x,60.2x,-0.8%,71.2%,27.6%,76.1%
2025-11-01,ON,ON Semiconductor,NasdaqGS,Information Technology,Developed,8.792,20.481,6.399,0.469,17.6%,3.2x,44.0x,6.3%,5.7%,223.5%,67.2%
2025-11-01,MCHP,Microchip Technology,NasdaqGS,Information Technology,Developed,7.861,33.687,4.236,-0.149,4.9%,8.0x,-188.8x,2.2%,-2.7%,47.6%,81.4%
2025-11-01,LFUS,Littelfuse,NasdaqGS,Information Technology,Developed,0.162,6.059,2.322,0.119,13.7%,2.6x,51.1x,6.3%,4.5%,194.9%,88.5%
2025-11-01,IT,Gartner,NYSE,Information Technology,Developed,1.524,18.808,6.42,1.265,18.4%,2.9x,14.9x,8.0%,116.1%,61.2%,42.5%
2025-11-01,CSIQ,Canadian Solar,NasdaqGS,Information Technology,Developed,2.211,1.39,5.919,-0.173,1.1%,0.2x,-201.6x,-0.3%,32.7%,97.5%,97.5%
2025-11-01,CDNS,Cadence Design,NasdaqGS,Information Technology,Developed,1.696,92.192,5.213,1.061,31.9%,17.7x,86.9x,1.6%,21.7%,208.3%,90.0%
2025-11-01,AMD,AMD,NasdaqGS,Information Technology,Developed,61.248,415.6,29.6,2.834,8.4%,14.0x,152.3x,1.0%,4.7%,59.6%,95.9%
2025-11-01,ADSK,Autodesk,NasdaqGS,Information Technology,Developed,1.489,64.113,6.605,1.043,23.4%,9.7x,61.5x,2.9%,40.2%,49.0%,91.6%
2025-11-01,ACLS,Axcelis,NasdaqGS,Information Technology,Developed,0.615,2.466,0.896,0.159,17.8%,2.8x,15.6x,5.0%,16.2%,310.5%,77.3%
2025-10-01,ZS,Zscaler,NasdaqGS,Information Technology,Developed,1.714,48.207,2.673,-0.041,-4.6%,18.0x,-1,162.2x,1.7%,-2.7%,147.0%,95.6%
2025-10-01,ZM,Zoom Video,NasdaqGS,Information Technology,Developed,3.431,24.326,4.754,1.188,20.5%,5.1x,20.5x,7.6%,13.6%,399.4%,87.6%
2025-10-01,VSAT,ViaSat,NasdaqGS,Information Technology,Developed,3.847,3.937,4.564,-0.557,1.3%,0.9x,-6.6x,2.2%,-12.5%,101.4%,86.1%
2025-10-01,TXN,Texas Instruments,NasdaqGS,Information Technology,Developed,6.926,164,16.675,5.041,35.6%,9.8x,32.7x,0.9%,29.8%,215.0%,82.0%
2025-10-01,SWKS,Skyworks Solutions,NasdaqGS,Information Technology,Developed,2.503,11.331,4.012,0.396,14.7%,2.8x,28.6x,12.0%,6.6%,109.4%,78.1%
2025-10-01,SNOW,Snowflake,NYSE,Information Technology,Developed,5.106,78.102,4.116,-1.382,-34.3%,19.0x,-56.6x,1.0%,-42.4%,115.8%,92.2%
2025-10-01,ON,ON Semiconductor,NasdaqGS,Information Technology,Developed,8.627,19.774,6.399,0.469,17.6%,3.1x,42.5x,6.5%,5.7%,223.5%,63.6%
2025-10-01,NTAP,NetApp,NasdaqGS,Information Technology,Developed,1.864,23.655,6.59,1.171,21.8%,3.6x,20.2x,7.0%,123.0%,93.3%,88.9%
2025-10-01,MCHP,Microchip Technology,NasdaqGS,Information Technology,Developed,8.216,34.599,4.236,-0.148,4.9%,8.2x,-193.9x,2.1%,-2.7%,47.6%,83.0%
2025-10-01,IT,Gartner,NYSE,Information Technology,Developed,1.475,19.01,6.42,1.265,18.4%,3.0x,15.0x,8.0%,116.1%,61.2%,43.0%
2025-10-01,FTNT,Fortinet,NasdaqGS,Information Technology,Developed,7.157,65.271,6.338,1.94,30.7%,10.3x,33.7x,3.1%,165.2%,95.5%,74.2%
2025-10-01,CHKP,Check Point Software,NasdaqGS,Information Technology,Developed,0.883,21.914,2.642,0.858,33.0%,8.3x,25.5x,5.2%,30.3%,86.6%,87.1%
2025-10-01,CDNS,Cadence Design,NasdaqGS,Information Technology,Developed,1.749,95.91,5.089,1.012,30.9%,18.8x,94.8x,1.7%,21.8%,200.5%,93.5%
2025-10-01,BILL,Bill.com,NYSE,Information Technology,Developed,3.422,5.462,1.463,0.024,-5.5%,3.7x,229.5x,6.3%,0.6%,48.3%,53.6%
2025-10-01,ALAB,Astera Labs,NasdaqGS,Information Technology,Developed,5.853,32.33,0.606,0.1,7.0%,53.4x,322.8x,0.7%,10.1%,1,001.2%,74.0%
2025-09-01,ZS,Zscaler,NasdaqGS,Information Technology,Developed,1.933,43.135,2.547,-0.039,-4.8%,16.9x,-1,112.4x,1.8%,-2.7%,94.9%,87.0%
2025-09-01,ZM,Zoom Video,NasdaqGS,Information Technology,Developed,3.226,24.368,4.754,1.188,20.5%,5.1x,20.5x,7.6%,13.6%,399.4%,87.7%
2025-09-01,WDAY,Workday,NasdaqGS,Information Technology,Developed,2.783,61.629,8.959,0.583,8.6%,6.9x,105.7x,3.9%,6.7%,165.5%,78.5%
2025-09-01,TER,Teradyne,NasdaqGS,Information Technology,Developed,3.873,18.809,2.828,0.469,19.1%,6.7x,40.1x,3.0%,16.9%,54.5%,82.2%
2025-09-01,SNPS,Synopsys,NasdaqGS,Information Technology,Developed,1.576,111.7,6.221,2.143,20.9%,18.0x,82.7x,1.0%,15.8%,592.8%,92.6%
2025-09-01,ORCL,Oracle,NYSE,Information Technology,Developed,13.455,635.2,57.399,12.443,31.3%,11.1x,51.0x,-0.1%,85.4%,34.3%,86.7%
2025-09-01,ON,ON Semiconductor,NasdaqGS,Information Technology,Developed,9.655,20.281,6.399,0.469,17.6%,3.2x,43.5x,6.3%,5.7%,223.5%,63.2%
2025-09-01,NOW,ServiceNow,NYSE,Information Technology,Developed,1.533,190.4,12.057,1.661,13.8%,15.8x,114.6x,2.0%,17.0%,72.2%,76.6%
2025-09-01,MRVL,Marvell,NasdaqGS,Information Technology,Developed,20.16,54.196,7.235,-0.103,11.0%,7.5x,-524.1x,2.8%,-0.7%,51.0%,49.4%
2025-09-01,FTNT,Fortinet,NasdaqGS,Information Technology,Developed,6.409,60.359,6.338,1.94,30.7%,9.5x,31.1x,3.4%,165.2%,95.5%,68.6%
2025-09-01,CHKP,Check Point Software,NasdaqGS,Information Technology,Developed,0.868,20.734,2.642,0.858,33.0%,7.8x,24.2x,5.5%,30.3%,86.6%,82.4%
2025-09-01,CDNS,Cadence Design,NasdaqGS,Information Technology,Developed,1.693,95.49,5.089,1.012,30.9%,18.8x,94.4x,1.7%,21.8%,200.5%,93.1%
2025-09-01,ALAB,Astera Labs,NasdaqGS,Information Technology,Developed,5.253,30.285,0.606,0.1,7.0%,50.0x,302.4x,0.7%,10.1%,1,001.2%,91.3%
2025-09-01,ADBE,Adobe,NasdaqGS,Information Technology,Developed,3.851,151.3,22.601,6.869,36.7%,6.7x,22.0x,6.2%,52.3%,63.2%,60.7%
2025-09-01,ACLS,Axcelis,NasdaqGS,Information Technology,Developed,0.553,2.515,0.896,0.159,17.8%,2.8x,15.9x,4.9%,16.2%,310.5%,71.2%
2025-08-01,YOU,Clear Secure,NYSE,Information Technology,Developed,1.678,3.837,0.803,0.231,17.0%,4.8x,21.8x,7.8%,124.8%,77.0%,76.0%
2025-08-01,WDAY,Workday,NasdaqGS,Information Technology,Developed,2.261,59.299,8.696,0.487,7.3%,6.8x,121.8x,3.9%,5.7%,165.3%,75.6%
2025-08-01,VSAT,ViaSat,NasdaqGS,Information Technology,Developed,3.402,2.226,4.52,-0.531,1.6%,0.5x,-3.9x,-5.5%,-12.0%,96.2%,62.1%
2025-08-01,TXN,Texas Instruments,NasdaqGS,Information Technology,Developed,6.933,164.4,16.675,5.041,35.6%,9.9x,32.8x,0.9%,29.8%,215.0%,82.2%
2025-08-01,SWKS,Skyworks Solutions,NasdaqGS,Information Technology,Developed,3.229,10.162,3.952,0.412,15.5%,2.6x,24.7x,13.3%,6.7%,245.7%,62.9%
2025-08-01,SPNS,SPNS,NasdaqGS,Information Technology,Developed,0.183,1.495,0.544,0.073,15.9%,2.7x,20.6x,5.8%,16.1%,105.6%,86.9%
2025-08-01,QLYS,Qualys,NasdaqGS,Information Technology,Developed,0.315,4.742,0.622,0.181,31.2%,7.6x,26.1x,5.4%,40.2%,102.0%,76.8%
2025-08-01,ON,ON Semiconductor,NasdaqGS,Information Technology,Developed,9.934,23.744,6.665,0.636,20.2%,3.6x,37.5x,5.9%,7.8%,235.7%,72.3%
2025-08-01,MCHP,Microchip Technology,NasdaqGS,Information Technology,Developed,9.328,35.813,4.402,-0.001,8.5%,8.1x,-13,264.0x,2.2%,0.0%,66.8%,82.1%
2025-08-01,IT,Gartner,NYSE,Information Technology,Developed,0.788,25.287,6.329,1.254,18.5%,4.0x,20.2x,6.0%,113.2%,55.2%,56.3%
